,Company,Total,Employees,AnnualRevenue,BCGTop50,ForbesTop100
140,Juniper Networks,44,9400,4.4bn USD,,
141,GENESIS NETWORKS PTE LTD,44,844,1bn USD,,
142,Y3 Technologies Pte Ltd,43,90,6.5mil USD,,
143,Skycom Satellite Systems Pte Ltd,43,45,9mil USD,,
144,Esmart Mobile Pte Ltd,43,11-50e,,,
145,Optimum Solutions (Singapore) Pte Ltd,43,117,,,
146,Zwoo Mobile Pte Ltd,42,11-50e,,,
147,Aptsys Technology Solutions Pte Ltd,42,18,3mil USD,,
148,TELENOR PROCUREMENT COMPANY PTE. LTD.,42,20000,113.666b NOK,,
149,Future Technology Devices International Ltd,42,126,24mil USD,,
150,AiChat,41,1-10e,,,
151,Dassault Systemes,41,19361,4.8bn USD,,Yes
152,MATCHMOVE PAY PTE. LTD.,41,160,18mil USD,,
153,RF360 SINGAPORE PTE. LTD.,41,1001-5000e,,,
154,TALKWALKER PTE. LTD.,41,250,15mil USD,,
155,Veritas,40,6625,1bn USD,,
156,ENSIGN INFOSECURITY (SINGAPORE) PTE. LTD.,40,501-1000e,,,
157,nuTonomy,40,100,3mil USD,,
158,EBUY PTE. LTD.,40,51-200e,,,
159,Tenable,40,1252,398.8mil USD,,
160,Infobip,39,2100,602mil EUR,,
161,LIBERTY WIRELESS PTE. LTD.,39,500,100mil USD,,
162,Epsilon Telecommunications(SP) Pte Ltd,39,180,60mil USD,,
163,Fleischhacker LLP,39,180,,,
164,MSC Consulting (S) Pte Ltd,39,49,9mil USD,,
165,BlueTel Networks Pte Ltd,39,11-50e,,,
166,TravelClick,38,1100,375mil USD,,
167,Backbase,38,956,63.9mil USD,,
168,TERRA SYSTEMS PTE. LTD.,38,51-200e,,,
169,MEDIATEK SINGAPORE PTE. LTD.,38,201-500e,,,
170,MicroSec,38,17,3mil USD,,
171,HEWLETT-PACKARD SINGAPORE (SALES) PTE. LTD.,38,61600,30.85bn USD,,
172,SHOPEE SINGAPORE PRIVATE LIMITED,37,1500,860mil USD,,
173,ZENTEK ENGINEERING PTE. LTD.,37,11-50e,,,
174,CA Technologies,37,10850,4.262bn USD,,
175,Atos Information Technology (S) Pte Ltd,37,110000,12bn USD,,
176,MELTWATER NEWS SG1 PTE. LTD.,37,1001-5000e,,,
177,WIZVISION PTE. LTD.,37,42,9mil USD,,
178,I-Access Solutions Pte Ltd,37,51-200e,,,
179,Intersoftkk (S) Pte. Ltd.,36,201-500e,,,
180,Qualcomm,36,37000,24.27bn USD,,
181,ZENDESK SINGAPORE PTE. LTD.,36,3570,816mil USD,,
182,ECNET LIMITED,36,116,23mil USD,,
183,DataRobot,36,1200,100mil USD,,
184,SP TELECOMMUNICATIONS PTE LTD,36,35,8mil USD,,
185,Meltwater Singapore Pte Ltd,36,1001-5000e,,,
186,PRAMERICA FINANCIAL ASIA HEADQUARTERS PTE. LTD.,35,1100,,,
187,Cxrus Solutions Pte Ltd,35,51,41.40mil USD,,
188,SABRE ASIA PACIFIC PTE. LTD.,35,9950,3.97bn USD,,
189,SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,35,40000,,,
190,TIGERSPIKE PTE. LTD.,35,305,35mil USD,,
191,ECOMMERCE ENABLERS PTE. LTD.,35,201-500e,,,
192,ThoughtWorks,35,7000,650mil USD,,
193,True Stats Lab,35,11-50e,,,
194,Orange SA,35,135619,42.24bn EUR,,
195,AxiomSL,35,560,23.5mil USD,,
196,ADNOVUM SINGAPORE PTE. LTD.,34,14,2mil USD,,
197,Anacle Systems Limited,34,110,9mil USD,,
198,IOTALENTS PTE. LTD.,34,6,1mil USD,,
199,VUI SYSTEMS PTE. LTD.,34,11-50e,,,
200,HP,34,61600,30.85bn USD,Yes,
201,Razer,33,1451,447.5mil USD,,
202,Vodafone,33,98996,43.67bn EUR,,
203,MYTONA PTE. LTD.,32,22,4mil USD,,
204,VMWARE SINGAPORE PTE. LTD.,32,24200,8.97bn USD,,
205,F5 NETWORKS SINGAPORE PTE LTD,32,5325,2.24bn USD,,
206,SYSNET SYSTEM AND SOLUTIONS PTE. LTD.,32,39,7mil USD,,
207,Puricare Pte Ltd,32,28,5mil USD,,
208,TMS ALLIANCES PTE. LTD.,32,23,4mil USD,,
209,AVEPOINT SINGAPORE PTE. LTD.,32,1500,250mil USD,,
210,ENGIE ITS Pte Ltd,32,158505,60.1bn EUR,,
211,myglobalCV,31,11-50e,,,
212,Travelport,31,3700,2.5bn USD,,
213,FIRSTCOM SOLUTIONS PTE. LTD.,31,46,8mil USD,,
214,AFTERSHOCK PC PTE LTD,31,66,13mil USD,,
215,NANOMETRICS,31,71,9mil USD,,
216,ECCO SHOE PRODUCTION PTE. LTD.,30,19500,1.13bn EUR,,
217,Fuji Xerox Singapore Pte Ltd,30,40646,11.1bn USD,,
218,Sephora Digital,30,39000,2.5bn USD,,
219,I-SPRINT INNOVATIONS PTE LTD,30,113,22mil USD,,
220,8xpand Technologies Pte Ltd,30,11-50e,,,
221,SCHNEIDER ELECTRIC SOFTWARE HOLDINGS SINGAPORE PTE. LTD.,30,135000,27.2bn EUR,,
222,WIRECARD ASIA HOLDING PTE. LTD.,29,,,,
223,Native Inc Pte Ltd,29,,,,
224,Elastic,29,,,,
225,Refash,29,,,,
226,ATTAIN ANALYTICS GROUP PTE. LTD.,28,,,,
227,SKYLINE COMMUNICATIONS APAC PTE. LTD.,28,,,,
228,Ultimate Software,28,,,,
229,HEMMERSBACH SINGAPORE PTE LTD,28,,,,
230,HReasily,28,,,,
